workload,cols,cluster_size,trial,overhead_ms
layernorm_backward,4096,2,0,0.0102432
layernorm_backward,4096,2,1,0.0102467
layernorm_backward,4096,2,2,0.0102326
layernorm_backward,4096,2,3,0.0102291
layernorm_backward,4096,2,4,0.0102403
layernorm_backward,8192,2,0,0.01024
layernorm_backward,8192,2,1,0.0102275
layernorm_backward,8192,2,2,0.0102355
layernorm_backward,8192,2,3,0.0102298
layernorm_backward,8192,2,4,0.0102304
layernorm_backward,16384,2,0,0.0102365
layernorm_backward,16384,2,1,0.0102384
layernorm_backward,16384,2,2,0.0102202
layernorm_backward,16384,2,3,0.0099632
layernorm_backward,16384,2,4,0.0102445
layernorm_backward,32768,2,0,0.0204765
layernorm_backward,32768,2,1,0.0204701
layernorm_backward,32768,2,2,0.0204669
layernorm_backward,32768,2,3,0.0204675
layernorm_backward,32768,2,4,0.0204707
layernorm_backward,4096,4,0,0.0224966
layernorm_backward,4096,4,1,0.0224851
layernorm_backward,4096,4,2,0.0225101
layernorm_backward,4096,4,3,0.022496
layernorm_backward,4096,4,4,0.02252
layernorm_backward,8192,4,0,0.0225098
layernorm_backward,8192,4,1,0.0225066
layernorm_backward,8192,4,2,0.0225178
layernorm_backward,8192,4,3,0.0224944
layernorm_backward,8192,4,4,0.0225053
layernorm_backward,16384,4,0,0.0225206
layernorm_backward,16384,4,1,0.0224931
layernorm_backward,16384,4,2,0.0225002
layernorm_backward,16384,4,3,0.022505
layernorm_backward,16384,4,4,0.0225014
layernorm_backward,32768,4,0,0.022487
layernorm_backward,32768,4,1,0.0224893
layernorm_backward,32768,4,2,0.0224998
layernorm_backward,32768,4,3,0.0224979
layernorm_backward,32768,4,4,0.0224896
layernorm_backward,65536,4,0,0.043031
layernorm_backward,65536,4,1,0.0430134
layernorm_backward,65536,4,2,0.0430352
layernorm_backward,65536,4,3,0.0430349
layernorm_backward,65536,4,4,0.043024
layernorm_backward,4096,8,0,0.0489776
layernorm_backward,4096,8,1,0.0489594
layernorm_backward,4096,8,2,0.0489654
layernorm_backward,4096,8,3,0.0486243
layernorm_backward,4096,8,4,0.0488243
layernorm_backward,8192,8,0,0.0487891
layernorm_backward,8192,8,1,0.0488506
layernorm_backward,8192,8,2,0.0487088
layernorm_backward,8192,8,3,0.048689
layernorm_backward,8192,8,4,0.0487888
layernorm_backward,16384,8,0,0.048825
layernorm_backward,16384,8,1,0.0486861
layernorm_backward,16384,8,2,0.0487075
layernorm_backward,16384,8,3,0.0490368
layernorm_backward,16384,8,4,0.0487613
layernorm_backward,32768,8,0,0.0488454
layernorm_backward,32768,8,1,0.048865
layernorm_backward,32768,8,2,0.0486742
layernorm_backward,32768,8,3,0.0487648
layernorm_backward,32768,8,4,0.0488691
layernorm_backward,65536,8,0,0.0488723
layernorm_backward,65536,8,1,0.0487782
layernorm_backward,65536,8,2,0.0487242
layernorm_backward,65536,8,3,0.0489043
layernorm_backward,65536,8,4,0.0488886
weighted_var_backward,4096,2,0,0.0265978
weighted_var_backward,4096,2,1,0.026609
weighted_var_backward,4096,2,2,0.0265936
weighted_var_backward,4096,2,3,0.0266195
weighted_var_backward,4096,2,4,0.026615
weighted_var_backward,8192,2,0,0.0266099
weighted_var_backward,8192,2,1,0.0266237
weighted_var_backward,8192,2,2,0.0265978
weighted_var_backward,8192,2,3,0.0266016
weighted_var_backward,8192,2,4,0.0266323
weighted_var_backward,16384,2,0,0.0532096
weighted_var_backward,16384,2,1,0.0532285
weighted_var_backward,16384,2,2,0.0532176
weighted_var_backward,16384,2,3,0.0532333
weighted_var_backward,16384,2,4,0.0532285
weighted_var_backward,4096,4,0,0.0573638
weighted_var_backward,4096,4,1,0.057312
weighted_var_backward,4096,4,2,0.0573491
weighted_var_backward,4096,4,3,0.0573104
weighted_var_backward,4096,4,4,0.0573222
weighted_var_backward,8192,4,0,0.0573402
weighted_var_backward,8192,4,1,0.0573264
weighted_var_backward,8192,4,2,0.0573347
weighted_var_backward,8192,4,3,0.0573174
weighted_var_backward,8192,4,4,0.0573018
weighted_var_backward,16384,4,0,0.0573203
weighted_var_backward,16384,4,1,0.0573213
weighted_var_backward,16384,4,2,0.0573082
weighted_var_backward,16384,4,3,0.0573011
weighted_var_backward,16384,4,4,0.057345
weighted_var_backward,32768,4,0,0.114643
weighted_var_backward,32768,4,1,0.114631
weighted_var_backward,32768,4,2,0.114653
weighted_var_backward,32768,4,3,0.114638
weighted_var_backward,32768,4,4,0.114661
weighted_var_backward,4096,8,0,0.128401
weighted_var_backward,4096,8,1,0.127429
weighted_var_backward,4096,8,2,0.127348
weighted_var_backward,4096,8,3,0.127391
weighted_var_backward,4096,8,4,0.127397
weighted_var_backward,8192,8,0,0.127318
weighted_var_backward,8192,8,1,0.127214
weighted_var_backward,8192,8,2,0.127296
weighted_var_backward,8192,8,3,0.127291
weighted_var_backward,8192,8,4,0.127502
weighted_var_backward,16384,8,0,0.127183
weighted_var_backward,16384,8,1,0.12745
weighted_var_backward,16384,8,2,0.127434
weighted_var_backward,16384,8,3,0.12727
weighted_var_backward,16384,8,4,0.127368
weighted_var_backward,32768,8,0,0.127409
weighted_var_backward,32768,8,1,0.12736
weighted_var_backward,32768,8,2,0.127366
weighted_var_backward,32768,8,3,0.127435
weighted_var_backward,32768,8,4,0.12743
weighted_var_backward,65536,8,0,0.256598
weighted_var_backward,65536,8,1,0.256441
weighted_var_backward,65536,8,2,0.256304
weighted_var_backward,65536,8,3,0.256534
weighted_var_backward,65536,8,4,0.25651
pearson_backward,4096,2,0,0.0184621
pearson_backward,4096,2,1,0.018551
pearson_backward,4096,2,2,0.0184691
pearson_backward,4096,2,3,0.0184435
pearson_backward,4096,2,4,0.0184442
pearson_backward,8192,2,0,0.0184512
pearson_backward,8192,2,1,0.0184429
