device,workload,label,category,rows,cols,block_variant,cuda_nodsmem_ms,cuda_nodsmem_p20_ms,cuda_nodsmem_p80_ms,torch_compile_ms,torch_compile_p20_ms,torch_compile_p80_ms,triton_ms,triton_p20_ms,triton_p80_ms,triton_block_size,triton_num_warps,dsmem_ms,dsmem_p20_ms,dsmem_p80_ms,measured_cluster_size,best_baseline,best_baseline_ms,dsmem_vs_torch,dsmem_vs_triton,dsmem_vs_cuda_nodsmem,dsmem_vs_best,dsmem_vs_best_p20,dsmem_vs_best_p80,predicted_cluster_size,predicted_delta_ms,predicted_profitable,measured_profitable_vs_cuda,model_correct,model_version
RTX 5090,layernorm_backward,LayerNorm backward,normalization,2048,4096,block_read,0.028257,0.028200020000000003,0.02830044,0.044205121994018555,0.04408934307098388,0.04478118419647217,0.0287337589263916,0.02869708776473999,0.028738879680633544,1024,8,0.0524566,0.05231148,0.05249956,2,cuda_nodsmem,0.028257,0.8426989548315856,0.5477625108449957,0.5386738751653748,0.5386738751653748,0.5371477399048679,0.5409986488625441,2,-0.0037894228140227964,False,False,True,effective-bandwidth-overlap-v2
RTX 5090,layernorm_backward,LayerNorm backward,normalization,2048,8192,block_smem,0.134866,0.13479400000000002,0.13495759999999998,0.1204361629486084,0.12038892936706543,0.12047846221923827,0.18902368545532228,0.18871622467041016,0.18907840347290036,1024,8,0.123836,0.12265200000000001,0.1239274,2,torch.compile,0.1204361629486084,0.9725456486692755,1.5264033516531725,1.0890694143867696,0.9725456486692755,0.9714472293218888,0.9822788231682994,2,0.0321309128316434,True,True,True,effective-bandwidth-overlap-v2
RTX 5090,layernorm_backward,LayerNorm backward,normalization,2048,16384,block_smem,0.41801,0.4179566,0.4180374,0.2541632080078125,0.25414176177978515,0.2546723823547363,0.46845985412597657,0.46843859100341795,0.4686364212036133,1024,8,0.251141,0.251127,0.25124399999999997,4,torch.compile,0.2541632080078125,1.0120339092693447,1.865326068328057,1.664443479957474,1.0120339092693447,1.0115336556486332,1.0141178859889073,2,0.13016793412297578,True,True,True,effective-bandwidth-overlap-v2
RTX 5090,layernorm_backward,LayerNorm backward,normalization,2048,32768,block_read,1.0187,1.018338,1.0188380000000001,0.5281868743896484,0.527984260559082,0.5284673309326172,0.9838224029541016,0.9830616760253906,0.9846422424316406,1024,8,0.503927,0.5038944000000001,0.5039962,8,torch.compile,0.5281868743896484,1.0481416443049258,1.9523113525453122,2.021522958682507,1.0481416443049258,1.047595717108744,1.0487660329875013,2,0.32892132670564056,True,True,True,effective-bandwidth-overlap-v2
RTX 5090,layernorm_backward,LayerNorm backward,normalization,2048,65536,block_read,2.04979,2.047796,2.0503720000000003,2.6131787109375,2.6117870483398438,2.6133118896484375,2.0026786804199217,2.002005554199219,2.003627136230469,1024,8,1.02139,1.019976,1.021436,8,triton,2.0026786804199217,2.558453392864136,1.9607384842419855,2.006863196232585,1.9607384842419855,1.9599911831962247,1.9643865504977265,4,0.6613989171810746,True,True,True,effective-bandwidth-overlap-v2
RTX 5090,weighted_var_backward,Weighted variance backward,normalization,4096,4096,block_smem,0.1629,0.162846,0.1632278,0.16063871383666992,0.16024250411987304,0.16117395401000975,0.19061567306518554,0.19049068069458008,0.19065607070922852,1024,8,0.163591,0.1635248,0.16367879999999999,2,torch.compile,0.16063871383666992,0.9819532482634737,1.165196576004704,0.9957760512497631,0.9819532482634737,0.9790058585465744,0.9856239176565864,2,0.0470214983702792,True,False,False,effective-bandwidth-overlap-v2
RTX 5090,weighted_var_backward,Weighted variance backward,normalization,4096,8192,block_smem,0.332926,0.332835,0.3333782,0.34857791900634766,0.34852378845214843,0.34869408416748043,0.6444000244140625,0.6441091308593749,0.6450412139892578,1024,8,0.332084,0.332074,0.3321074,4,cuda_nodsmem,0.332926,1.0496679123545478,1.9404729659184499,1.0025355030654894,1.0025355030654894,1.0021908575358454,1.003927437860236,2,0.1251167149667964,True,True,True,effective-bandwidth-overlap-v2
RTX 5090,weighted_var_backward,Weighted variance backward,normalization,4096,16384,block_read,1.60965,1.6081180000000002,1.61152,0.6798941040039063,0.6797609252929687,0.6799541320800782,1.623264923095703,1.6231829528808595,1.6239543457031251,1024,8,0.666041,0.6659587999999999,0.666236,2,torch.compile,0.6798941040039063,1.0207991760325659,2.4371846824680508,2.416743113411937,1.0207991760325659,1.0203005020637863,1.0210153121785888,2,0.8166935481598309,True,True,True,effective-bandwidth-overlap-v2
RTX 5090,weighted_var_backward,Weighted variance backward,normalization,4096,32768,block_read,3.51796,3.517778,3.5187159999999995,1.8766307067871093,1.8704288024902345,1.879651885986328,3.2693185424804687,3.268817443847656,3.270302429199219,256,4,1.33252,1.332454,1.332786,4,torch.compile,1.8766307067871093,1.4083321126790662,2.4534855330355034,2.640080449073935,1.4083321126790662,1.4033976966221393,1.4106692508606886,4,1.8036370234147097,True,True,True,effective-bandwidth-overlap-v2
RTX 5090,weighted_var_backward,Weighted variance backward,normalization,4096,65536,block_read,7.03895,7.036378000000001,7.04494,6.534402465820312,6.533861572265625,6.535851684570312,6.526306762695312,6.525861083984376,6.527382202148438,256,4,2.71766,2.7175599999999998,2.718058,8,triton,6.526306762695312,2.404422358139102,2.4014434339451265,2.5900774931374784,2.4014434339451265,2.4009278256697892,2.401927538729021,8,3.578827755209611,True,True,True,effective-bandwidth-overlap-v2
RTX 5090,pearson_backward,Pearson backward,pairwise statistics,4096,4096,block_smem,0.177347,0.177336,0.177362,0.17520864486694335,0.17516826248168946,0.1752601623535156,0.18375392913818359,0.1836754608154297,0.18383026885986328,1024,8,0.171907,0.17188399999999998,0.17204399999999997,4,torch.compile,0.17520864486694335,1.0192059943279992,1.068914757038303,1.03164501736404,1.0192059943279992,1.0181596712567105,1.0196420978887832,2,0.024517226171440122,True,True,True,effective-bandwidth-overlap-v2
