workload,cols,cluster_size,trial,overhead_ms
layernorm_backward,4096,2,0,0.0114771
layernorm_backward,4096,2,1,0.0112454
layernorm_backward,4096,2,2,0.0114077
layernorm_backward,4096,2,3,0.0115811
layernorm_backward,4096,2,4,0.011543
layernorm_backward,8192,2,0,0.0114272
layernorm_backward,8192,2,1,0.0116016
layernorm_backward,8192,2,2,0.0113181
layernorm_backward,8192,2,3,0.0115296
layernorm_backward,8192,2,4,0.0102963
layernorm_backward,16384,2,0,0.0134118
layernorm_backward,16384,2,1,0.0142816
layernorm_backward,16384,2,2,0.0143677
layernorm_backward,16384,2,3,0.0143571
layernorm_backward,16384,2,4,0.0140454
layernorm_backward,32768,2,0,0.0253146
layernorm_backward,32768,2,1,0.0254003
layernorm_backward,32768,2,2,0.0253402
layernorm_backward,32768,2,3,0.025687
layernorm_backward,32768,2,4,0.0256688
layernorm_backward,65536,2,0,0.0647085
layernorm_backward,65536,2,1,0.0645261
layernorm_backward,65536,2,2,0.0642675
layernorm_backward,65536,2,3,0.0644986
layernorm_backward,65536,2,4,0.0644682
layernorm_backward,4096,4,0,0.0250381
layernorm_backward,4096,4,1,0.0242752
layernorm_backward,4096,4,2,0.0251984
layernorm_backward,4096,4,3,0.0248899
layernorm_backward,4096,4,4,0.024953
layernorm_backward,8192,4,0,0.0248096
layernorm_backward,8192,4,1,0.023943
layernorm_backward,8192,4,2,0.0251197
layernorm_backward,8192,4,3,0.024639
layernorm_backward,8192,4,4,0.0248531
layernorm_backward,16384,4,0,0.0240848
layernorm_backward,16384,4,1,0.0251069
layernorm_backward,16384,4,2,0.0239696
layernorm_backward,16384,4,3,0.0251555
layernorm_backward,16384,4,4,0.0234752
layernorm_backward,32768,4,0,0.0317818
layernorm_backward,32768,4,1,0.0319533
layernorm_backward,32768,4,2,0.0313779
layernorm_backward,32768,4,3,0.0315526
layernorm_backward,32768,4,4,0.0317731
layernorm_backward,65536,4,0,0.0589789
layernorm_backward,65536,4,1,0.0588979
layernorm_backward,65536,4,2,0.0581741
layernorm_backward,65536,4,3,0.0591203
layernorm_backward,65536,4,4,0.0591629
layernorm_backward,4096,8,0,0.0510019
layernorm_backward,4096,8,1,0.049567
layernorm_backward,4096,8,2,0.049647
layernorm_backward,4096,8,3,0.0518413
layernorm_backward,4096,8,4,0.0519805
layernorm_backward,8192,8,0,0.0516272
layernorm_backward,8192,8,1,0.0518528
layernorm_backward,8192,8,2,0.051759
layernorm_backward,8192,8,3,0.0517053
layernorm_backward,8192,8,4,0.0518608
layernorm_backward,16384,8,0,0.0506803
layernorm_backward,16384,8,1,0.0510349
layernorm_backward,16384,8,2,0.0517613
layernorm_backward,16384,8,3,0.0520022
layernorm_backward,16384,8,4,0.051527
layernorm_backward,32768,8,0,0.0518525
layernorm_backward,32768,8,1,0.0518982
layernorm_backward,32768,8,2,0.0519917
layernorm_backward,32768,8,3,0.0504704
layernorm_backward,32768,8,4,0.0515312
layernorm_backward,65536,8,0,0.0655718
layernorm_backward,65536,8,1,0.067145
layernorm_backward,65536,8,2,0.0672122
layernorm_backward,65536,8,3,0.0670973
layernorm_backward,65536,8,4,0.0659309
weighted_var_backward,4096,2,0,0.0323008
weighted_var_backward,4096,2,1,0.0323805
weighted_var_backward,4096,2,2,0.0322909
weighted_var_backward,4096,2,3,0.0323914
weighted_var_backward,4096,2,4,0.0323075
weighted_var_backward,8192,2,0,0.056
weighted_var_backward,8192,2,1,0.0559155
weighted_var_backward,8192,2,2,0.0559414
weighted_var_backward,8192,2,3,0.0559446
weighted_var_backward,8192,2,4,0.0560595
weighted_var_backward,16384,2,0,0.10341
weighted_var_backward,16384,2,1,0.103294
weighted_var_backward,16384,2,2,0.103091
weighted_var_backward,16384,2,3,0.103576
weighted_var_backward,16384,2,4,0.103375
weighted_var_backward,32768,2,0,0.185675
weighted_var_backward,32768,2,1,0.185705
weighted_var_backward,32768,2,2,0.185782
weighted_var_backward,32768,2,3,0.185964
weighted_var_backward,32768,2,4,0.185805
weighted_var_backward,4096,4,0,0.0709037
weighted_var_backward,4096,4,1,0.0709238
weighted_var_backward,4096,4,2,0.0705923
weighted_var_backward,4096,4,3,0.0709462
weighted_var_backward,4096,4,4,0.0708499
