cols,rows,block_variant,block_ms,cluster_variant,cluster_ms,cluster_size,trial,workload
4096,2048,block_smem,0.0419741,cluster_smem,0.0472355,2,0,layernorm_backward
8192,2048,block_smem,0.0940243,cluster_smem,0.082329,2,0,layernorm_backward
16384,2048,block_smem,0.219273,cluster_smem,0.187522,2,0,layernorm_backward
32768,2048,block_read,0.550361,cluster_smem,0.416428,2,0,layernorm_backward
65536,2048,block_read,1.11931,cluster_smem,1.28982,2,0,layernorm_backward
4096,2048,block_smem,0.0421629,cluster_smem,0.0474115,2,1,layernorm_backward
8192,2048,block_smem,0.0942227,cluster_smem,0.0824922,2,1,layernorm_backward
16384,2048,block_smem,0.219326,cluster_smem,0.187685,2,1,layernorm_backward
32768,2048,block_read,0.550401,cluster_smem,0.416597,2,1,layernorm_backward
65536,2048,block_read,1.11959,cluster_smem,1.29002,2,1,layernorm_backward
4096,2048,block_smem,0.0421898,cluster_smem,0.0474838,2,2,layernorm_backward
8192,2048,block_smem,0.0942666,cluster_smem,0.082489,2,2,layernorm_backward
16384,2048,block_smem,0.219385,cluster_smem,0.187711,2,2,layernorm_backward
32768,2048,block_read,0.54971,cluster_smem,0.416159,2,2,layernorm_backward
65536,2048,block_read,1.12101,cluster_smem,1.29727,2,2,layernorm_backward
4096,2048,block_smem,0.0421331,cluster_smem,0.0474115,2,3,layernorm_backward
8192,2048,block_smem,0.0941933,cluster_smem,0.0825021,2,3,layernorm_backward
16384,2048,block_smem,0.219385,cluster_smem,0.187709,2,3,layernorm_backward
32768,2048,block_read,0.550323,cluster_smem,0.416547,2,3,layernorm_backward
65536,2048,block_read,1.11994,cluster_smem,1.28994,2,3,layernorm_backward
4096,2048,block_smem,0.0420557,cluster_smem,0.0472928,2,4,layernorm_backward
8192,2048,block_smem,0.0940739,cluster_smem,0.0822899,2,4,layernorm_backward
16384,2048,block_smem,0.219316,cluster_smem,0.187486,2,4,layernorm_backward
32768,2048,block_read,0.550144,cluster_smem,0.416527,2,4,layernorm_backward
65536,2048,block_read,1.12005,cluster_smem,1.28995,2,4,layernorm_backward
4096,2048,block_smem,0.042039,cluster_smem,0.069023,4,0,layernorm_backward
8192,2048,block_smem,0.094127,cluster_smem,0.0930986,4,0,layernorm_backward
16384,2048,block_smem,0.219258,cluster_smem,0.157369,4,0,layernorm_backward
32768,2048,block_read,0.550303,cluster_smem,0.374023,4,0,layernorm_backward
65536,2048,block_read,1.11953,cluster_smem,0.838215,4,0,layernorm_backward
4096,2048,block_smem,0.0422326,cluster_smem,0.0692333,4,1,layernorm_backward
8192,2048,block_smem,0.0942819,cluster_smem,0.0932595,4,1,layernorm_backward
16384,2048,block_smem,0.219416,cluster_smem,0.157577,4,1,layernorm_backward
32768,2048,block_read,0.550467,cluster_smem,0.374235,4,1,layernorm_backward
65536,2048,block_read,1.11985,cluster_smem,0.838196,4,1,layernorm_backward
4096,2048,block_smem,0.0420614,cluster_smem,0.0690352,4,2,layernorm_backward
8192,2048,block_smem,0.0939802,cluster_smem,0.093081,4,2,layernorm_backward
16384,2048,block_smem,0.219301,cluster_smem,0.157401,4,2,layernorm_backward
32768,2048,block_read,0.550188,cluster_smem,0.374109,4,2,layernorm_backward
65536,2048,block_read,1.11747,cluster_smem,0.838837,4,2,layernorm_backward
4096,2048,block_smem,0.0421645,cluster_smem,0.0691258,4,3,layernorm_backward
8192,2048,block_smem,0.0943437,cluster_smem,0.0932614,4,3,layernorm_backward
16384,2048,block_smem,0.219374,cluster_smem,0.157468,4,3,layernorm_backward
32768,2048,block_read,0.550441,cluster_smem,0.374206,4,3,layernorm_backward
