cols,rows,block_variant,block_ms,cluster_variant,cluster_ms,cluster_size,trial,workload
4096,2048,block_read,0.0278544,cluster_smem,0.0523094,2,0,layernorm_backward
8192,2048,block_smem,0.134792,cluster_smem,0.123922,2,0,layernorm_backward
16384,2048,block_smem,0.417744,cluster_smem,0.254428,2,0,layernorm_backward
32768,2048,block_read,1.01771,cluster_smem,0.54686,2,0,layernorm_backward
65536,2048,block_read,2.04965,n/a,nan,2,0,layernorm_backward
4096,2048,block_read,0.0282637,cluster_smem,0.052312,2,1,layernorm_backward
8192,2048,block_smem,0.134736,cluster_smem,0.122673,2,1,layernorm_backward
16384,2048,block_smem,0.41757,cluster_smem,0.254479,2,1,layernorm_backward
32768,2048,block_read,1.01789,cluster_smem,0.546915,2,1,layernorm_backward
65536,2048,block_read,2.0499,n/a,nan,2,1,layernorm_backward
4096,2048,block_read,0.0279354,cluster_smem,0.0524566,2,2,layernorm_backward
8192,2048,block_smem,0.134903,cluster_smem,0.123949,2,2,layernorm_backward
16384,2048,block_smem,0.417741,cluster_smem,0.254432,2,2,layernorm_backward
32768,2048,block_read,1.01838,cluster_smem,0.547082,2,2,layernorm_backward
65536,2048,block_read,2.05046,n/a,nan,2,2,layernorm_backward
4096,2048,block_read,0.0283866,cluster_smem,0.0524963,2,3,layernorm_backward
8192,2048,block_smem,0.134943,cluster_smem,0.123836,2,3,layernorm_backward
16384,2048,block_smem,0.417764,cluster_smem,0.254515,2,3,layernorm_backward
32768,2048,block_read,1.01867,cluster_smem,0.546855,2,3,layernorm_backward
65536,2048,block_read,2.04944,n/a,nan,2,3,layernorm_backward
4096,2048,block_read,0.0281734,cluster_smem,0.0525126,2,4,layernorm_backward
8192,2048,block_smem,0.13486,cluster_smem,0.122568,2,4,layernorm_backward
16384,2048,block_smem,0.417918,cluster_smem,0.254457,2,4,layernorm_backward
32768,2048,block_read,1.01831,cluster_smem,0.547061,2,4,layernorm_backward
65536,2048,block_read,2.05006,n/a,nan,2,4,layernorm_backward
4096,2048,block_read,0.0277571,cluster_smem,0.0840858,4,0,layernorm_backward
8192,2048,block_smem,0.135002,cluster_smem,0.139151,4,0,layernorm_backward
16384,2048,block_smem,0.417716,cluster_smem,0.251141,4,0,layernorm_backward
32768,2048,block_read,1.01864,cluster_smem,0.509771,4,0,layernorm_backward
65536,2048,block_read,2.04983,cluster_smem,1.09882,4,0,layernorm_backward
4096,2048,block_read,0.0281251,cluster_smem,0.0840954,4,1,layernorm_backward
8192,2048,block_smem,0.134822,cluster_smem,0.139273,4,1,layernorm_backward
16384,2048,block_smem,0.41792,cluster_smem,0.25142,4,1,layernorm_backward
32768,2048,block_read,1.01795,cluster_smem,0.509761,4,1,layernorm_backward
65536,2048,block_read,2.04906,cluster_smem,1.09851,4,1,layernorm_backward
4096,2048,block_read,0.0280512,cluster_smem,0.0842826,4,2,layernorm_backward
8192,2048,block_smem,0.134964,cluster_smem,0.139245,4,2,layernorm_backward
16384,2048,block_smem,0.417836,cluster_smem,0.251139,4,2,layernorm_backward
32768,2048,block_read,1.01867,cluster_smem,0.510714,4,2,layernorm_backward
65536,2048,block_read,2.04936,cluster_smem,1.09891,4,2,layernorm_backward
4096,2048,block_read,0.028328,cluster_smem,0.0844653,4,3,layernorm_backward
8192,2048,block_smem,0.134987,cluster_smem,0.13923,4,3,layernorm_backward
16384,2048,block_smem,0.418069,cluster_smem,0.2512,4,3,layernorm_backward
32768,2048,block_read,1.0189,cluster_smem,0.509801,4,3,layernorm_backward
65536,2048,block_read,2.04502,cluster_smem,1.09891,4,3,layernorm_backward
4096,2048,block_read,0.0281085,cluster_smem,0.0841402,4,4,layernorm_backward
8192,2048,block_smem,0.134922,cluster_smem,0.13924,4,4,layernorm_backward
16384,2048,block_smem,0.417904,cluster_smem,0.251079,4,4,layernorm_backward
32768,2048,block_read,1.01751,cluster_smem,0.509785,4,4,layernorm_backward
65536,2048,block_read,2.04978,cluster_smem,1.09855,4,4,layernorm_backward
4096,2048,block_read,0.0280797,cluster_smem,0.184566,8,0,layernorm_backward
8192,2048,block_smem,0.134754,cluster_smem,0.206841,8,0,layernorm_backward
16384,2048,block_smem,0.417947,cluster_smem,0.284592,8,0,layernorm_backward
32768,2048,block_read,1.01891,cluster_smem,0.503927,8,0,layernorm_backward
65536,2048,block_read,2.04943,cluster_smem,1.02143,8,0,layernorm_backward
4096,2048,block_read,0.028391,cluster_smem,0.184695,8,1,layernorm_backward
8192,2048,block_smem,0.134804,cluster_smem,0.207452,8,1,layernorm_backward
16384,2048,block_smem,0.418147,cluster_smem,0.284839,8,1,layernorm_backward
32768,2048,block_read,1.01882,cluster_smem,0.503896,8,1,layernorm_backward
65536,2048,block_read,2.04979,cluster_smem,1.02139,8,1,layernorm_backward
4096,2048,block_read,0.0282778,cluster_smem,0.184617,8,2,layernorm_backward
8192,2048,block_smem,0.134957,cluster_smem,0.207351,8,2,layernorm_backward
16384,2048,block_smem,0.41801,cluster_smem,0.284731,8,2,layernorm_backward
32768,2048,block_read,1.0187,cluster_smem,0.503935,8,2,layernorm_backward
65536,2048,block_read,2.04126,cluster_smem,1.02006,8,2,layernorm_backward
4096,2048,block_read,0.0282301,cluster_smem,0.185094,8,3,layernorm_backward
8192,2048,block_smem,0.13496,cluster_smem,0.20742,8,3,layernorm_backward
16384,2048,block_smem,0.417959,cluster_smem,0.284781,8,3,layernorm_backward
32768,2048,block_read,1.01835,cluster_smem,0.504241,8,3,layernorm_backward
65536,2048,block_read,2.05032,cluster_smem,1.01964,8,3,layernorm_backward
4096,2048,block_read,0.028257,cluster_smem,0.184861,8,4,layernorm_backward
8192,2048,block_smem,0.134866,cluster_smem,0.207353,8,4,layernorm_backward
16384,2048,block_smem,0.41801,cluster_smem,0.284931,8,4,layernorm_backward
32768,2048,block_read,1.01829,cluster_smem,0.503888,8,4,layernorm_backward
65536,2048,block_read,2.05058,cluster_smem,1.02146,8,4,layernorm_backward
4096,4096,block_smem,0.160884,cluster_smem,0.163966,2,0,weighted_var_backward
8192,4096,block_smem,0.332718,cluster_smem,0.335194,2,0,weighted_var_backward
16384,4096,block_read,1.61201,cluster_smem,0.666324,2,0,weighted_var_backward
32768,4096,block_read,3.51474,n/a,nan,2,0,weighted_var_backward
65536,4096,block_read,7.03862,n/a,nan,2,0,weighted_var_backward
4096,4096,block_smem,0.163057,cluster_smem,0.163591,2,1,weighted_var_backward
8192,4096,block_smem,0.334264,cluster_smem,0.33492,2,1,weighted_var_backward
16384,4096,block_read,1.61251,cluster_smem,0.665774,2,1,weighted_var_backward
32768,4096,block_read,3.4977,n/a,nan,2,1,weighted_var_backward
65536,4096,block_read,7.0336,n/a,nan,2,1,weighted_var_backward
4096,4096,block_smem,0.16328,cluster_smem,0.16354,2,2,weighted_var_backward
8192,4096,block_smem,0.332981,cluster_smem,0.335088,2,2,weighted_var_backward
16384,4096,block_read,1.60868,cluster_smem,0.666214,2,2,weighted_var_backward
32768,4096,block_read,3.51358,n/a,nan,2,2,weighted_var_backward
65536,4096,block_read,7.03767,n/a,nan,2,2,weighted_var_backward
4096,4096,block_smem,0.16314,cluster_smem,0.163464,2,3,weighted_var_backward
8192,4096,block_smem,0.333119,cluster_smem,0.335014,2,3,weighted_var_backward
16384,4096,block_read,1.60382,cluster_smem,0.666005,2,3,weighted_var_backward
32768,4096,block_read,3.4728,n/a,nan,2,3,weighted_var_backward
65536,4096,block_read,7.03151,n/a,nan,2,3,weighted_var_backward
4096,4096,block_smem,0.163298,cluster_smem,0.163607,2,4,weighted_var_backward
8192,4096,block_smem,0.332717,cluster_smem,0.334082,2,4,weighted_var_backward
16384,4096,block_read,1.60636,cluster_smem,0.666041,2,4,weighted_var_backward
32768,4096,block_read,3.51351,n/a,nan,2,4,weighted_var_backward
65536,4096,block_read,7.03455,n/a,nan,2,4,weighted_var_backward
4096,4096,block_smem,0.162948,cluster_smem,0.217599,4,0,weighted_var_backward
8192,4096,block_smem,0.332504,cluster_smem,0.332084,4,0,weighted_var_backward
16384,4096,block_read,1.60413,cluster_smem,0.66947,4,0,weighted_var_backward
32768,4096,block_read,3.51354,cluster_smem,1.33272,4,0,weighted_var_backward
65536,4096,block_read,7.02991,n/a,nan,4,0,weighted_var_backward
4096,4096,block_smem,0.163399,cluster_smem,0.216512,4,1,weighted_var_backward
8192,4096,block_smem,0.334349,cluster_smem,0.332098,4,1,weighted_var_backward
16384,4096,block_read,1.6104,cluster_smem,0.66943,4,1,weighted_var_backward
32768,4096,block_read,3.5174,cluster_smem,1.33246,4,1,weighted_var_backward
65536,4096,block_read,7.03724,n/a,nan,4,1,weighted_var_backward
4096,4096,block_smem,0.162888,cluster_smem,0.216453,4,2,weighted_var_backward
8192,4096,block_smem,0.333145,cluster_smem,0.332076,4,2,weighted_var_backward
16384,4096,block_read,1.6123,cluster_smem,0.669613,4,2,weighted_var_backward
32768,4096,block_read,3.51751,cluster_smem,1.33252,4,2,weighted_var_backward
65536,4096,block_read,7.04022,n/a,nan,4,2,weighted_var_backward
4096,4096,block_smem,0.163262,cluster_smem,0.216418,4,3,weighted_var_backward
8192,4096,block_smem,0.332674,cluster_smem,0.332145,4,3,weighted_var_backward
16384,4096,block_read,1.6071,cluster_smem,0.669426,4,3,weighted_var_backward
32768,4096,block_read,3.51707,cluster_smem,1.33243,4,3,weighted_var_backward
65536,4096,block_read,7.03647,n/a,nan,4,3,weighted_var_backward
4096,4096,block_smem,0.162952,cluster_smem,0.21666,4,4,weighted_var_backward
8192,4096,block_smem,0.332529,cluster_smem,0.332066,4,4,weighted_var_backward
16384,4096,block_read,1.6048,cluster_smem,0.669774,4,4,weighted_var_backward
32768,4096,block_read,3.49978,cluster_smem,1.33305,4,4,weighted_var_backward
65536,4096,block_read,7.04145,n/a,nan,4,4,weighted_var_backward
4096,4096,block_smem,0.1629,cluster_smem,0.486449,8,0,weighted_var_backward
8192,4096,block_smem,0.332591,cluster_smem,0.481242,8,0,weighted_var_backward
16384,4096,block_read,1.60983,cluster_smem,0.668895,8,0,weighted_var_backward
32768,4096,block_read,3.51757,cluster_smem,1.33736,8,0,weighted_var_backward
65536,4096,block_read,7.03129,cluster_smem,2.71732,8,0,weighted_var_backward
4096,4096,block_smem,0.163503,cluster_smem,0.485639,8,1,weighted_var_backward
8192,4096,block_smem,0.334235,cluster_smem,0.482831,8,1,weighted_var_backward
16384,4096,block_read,1.60723,cluster_smem,0.669919,8,1,weighted_var_backward
32768,4096,block_read,3.51783,cluster_smem,1.33761,8,1,weighted_var_backward
65536,4096,block_read,7.03765,cluster_smem,2.71762,8,1,weighted_var_backward
4096,4096,block_smem,0.162706,cluster_smem,0.486101,8,2,weighted_var_backward
8192,4096,block_smem,0.332896,cluster_smem,0.482725,8,2,weighted_var_backward
16384,4096,block_read,1.60834,cluster_smem,0.669984,8,2,weighted_var_backward
32768,4096,block_read,3.51848,cluster_smem,1.33467,8,2,weighted_var_backward
65536,4096,block_read,7.03895,cluster_smem,2.71957,8,2,weighted_var_backward
4096,4096,block_smem,0.162881,cluster_smem,0.48666,8,3,weighted_var_backward
8192,4096,block_smem,0.332926,cluster_smem,0.482624,8,3,weighted_var_backward
16384,4096,block_read,1.60965,cluster_smem,0.669977,8,3,weighted_var_backward
32768,4096,block_read,3.51796,cluster_smem,1.33822,8,3,weighted_var_backward
65536,4096,block_read,7.04471,cluster_smem,2.71766,8,3,weighted_var_backward
4096,4096,block_smem,0.163159,cluster_smem,0.486384,8,4,weighted_var_backward
8192,4096,block_smem,0.333164,cluster_smem,0.483016,8,4,weighted_var_backward
16384,4096,block_read,1.61828,cluster_smem,0.670076,8,4,weighted_var_backward
32768,4096,block_read,3.51966,cluster_smem,1.33796,8,4,weighted_var_backward
65536,4096,block_read,7.04586,cluster_smem,2.71768,8,4,weighted_var_backward
4096,4096,block_smem,0.177384,cluster_smem,0.174551,2,0,pearson_backward
8192,4096,block_smem,0.351747,cluster_smem,0.352404,2,0,pearson_backward
16384,4096,block_read,1.07021,cluster_smem,0.703917,2,0,pearson_backward
32768,4096,block_read,2.16034,n/a,nan,2,0,pearson_backward
65536,4096,block_read,4.35094,n/a,nan,2,0,pearson_backward
4096,4096,block_smem,0.177317,cluster_smem,0.174449,2,1,pearson_backward
8192,4096,block_smem,0.351972,cluster_smem,0.352221,2,1,pearson_backward
16384,4096,block_read,1.06843,cluster_smem,0.703913,2,1,pearson_backward
32768,4096,block_read,2.16026,n/a,nan,2,1,pearson_backward
65536,4096,block_read,4.35522,n/a,nan,2,1,pearson_backward
4096,4096,block_smem,0.17728,cluster_smem,0.174493,2,2,pearson_backward
8192,4096,block_smem,0.351997,cluster_smem,0.352243,2,2,pearson_backward
16384,4096,block_read,1.06745,cluster_smem,0.704033,2,2,pearson_backward
32768,4096,block_read,2.15977,n/a,nan,2,2,pearson_backward
65536,4096,block_read,4.33739,n/a,nan,2,2,pearson_backward
4096,4096,block_smem,0.177342,cluster_smem,0.174372,2,3,pearson_backward
8192,4096,block_smem,0.351837,cluster_smem,0.352202,2,3,pearson_backward
16384,4096,block_read,1.0692,cluster_smem,0.703835,2,3,pearson_backward
32768,4096,block_read,2.15167,n/a,nan,2,3,pearson_backward
65536,4096,block_read,4.33649,n/a,nan,2,3,pearson_backward
4096,4096,block_smem,0.177221,cluster_smem,0.174429,2,4,pearson_backward
8192,4096,block_smem,0.352288,cluster_smem,0.352287,2,4,pearson_backward
16384,4096,block_read,1.06739,cluster_smem,0.703814,2,4,pearson_backward
32768,4096,block_read,2.15285,n/a,nan,2,4,pearson_backward
65536,4096,block_read,4.33438,n/a,nan,2,4,pearson_backward
4096,4096,block_smem,0.177259,cluster_smem,0.17232,4,0,pearson_backward
8192,4096,block_smem,0.351995,cluster_smem,0.351408,4,0,pearson_backward
16384,4096,block_read,1.06819,cluster_smem,0.704342,4,0,pearson_backward
32768,4096,block_read,2.16152,cluster_smem,1.41007,4,0,pearson_backward
65536,4096,block_read,4.34711,n/a,nan,4,0,pearson_backward
4096,4096,block_smem,0.177284,cluster_smem,0.171975,4,1,pearson_backward
8192,4096,block_smem,0.352005,cluster_smem,0.351361,4,1,pearson_backward
16384,4096,block_read,1.06812,cluster_smem,0.704319,4,1,pearson_backward
32768,4096,block_read,2.15015,cluster_smem,1.41008,4,1,pearson_backward
65536,4096,block_read,4.33617,n/a,nan,4,1,pearson_backward
4096,4096,block_smem,0.177314,cluster_smem,0.171852,4,2,pearson_backward
8192,4096,block_smem,0.351979,cluster_smem,0.351345,4,2,pearson_backward
16384,4096,block_read,1.07069,cluster_smem,0.704341,4,2,pearson_backward
32768,4096,block_read,2.16191,cluster_smem,1.40997,4,2,pearson_backward
65536,4096,block_read,4.33698,n/a,nan,4,2,pearson_backward
4096,4096,block_smem,0.177245,cluster_smem,0.171907,4,3,pearson_backward
8192,4096,block_smem,0.352066,cluster_smem,0.351279,4,3,pearson_backward
16384,4096,block_read,1.06934,cluster_smem,0.704264,4,3,pearson_backward
32768,4096,block_read,2.1603,cluster_smem,1.41005,4,3,pearson_backward
65536,4096,block_read,4.3374,n/a,nan,4,3,pearson_backward
4096,4096,block_smem,0.177219,cluster_smem,0.171892,4,4,pearson_backward
8192,4096,block_smem,0.351809,cluster_smem,0.351244,4,4,pearson_backward
16384,4096,block_read,1.07,cluster_smem,0.704308,4,4,pearson_backward
32768,4096,block_read,2.15962,cluster_smem,1.41024,4,4,pearson_backward
65536,4096,block_read,4.35664,n/a,nan,4,4,pearson_backward
4096,4096,block_smem,0.177378,cluster_smem,0.309756,8,0,pearson_backward
8192,4096,block_smem,0.351775,cluster_smem,0.351642,8,0,pearson_backward
